year,province,wage_frequency,noc,gender,age_group,weekly_wage
2017,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Females,25 to 54 years,969.86
2018,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Females,25 to 54 years,968.63
2019,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Females,25 to 54 years,1034.66
2020,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Females,25 to 54 years,1077.11
2021,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Females,25 to 54 years,1105.42
2017,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Females,25 to 54 years,1018.19
2018,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Females,25 to 54 years,1039.88
2019,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Females,25 to 54 years,1080.13
2020,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Females,25 to 54 years,1139.44
2021,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Females,25 to 54 years,1081.34
2017,Ontario,Average weekly wage rate,Office support occupations [14],Females,25 to 54 years,823.0
2018,Ontario,Average weekly wage rate,Office support occupations [14],Females,25 to 54 years,840.89
2019,Ontario,Average weekly wage rate,Office support occupations [14],Females,25 to 54 years,854.16
2020,Ontario,Average weekly wage rate,Office support occupations [14],Females,25 to 54 years,882.08
2021,Ontario,Average weekly wage rate,Office support occupations [14],Females,25 to 54 years,914.02
2017,Ontario,Average weekly wage rate,"Distribution, tracking and scheduling co-ordination occupations [15]",Females,25 to 54 years,913.09
2018,Ontario,Average weekly wage rate,"Distribution, tracking and scheduling co-ordination occupations [15]",Females,25 to 54 years,926.13
2019,Ontario,Average weekly wage rate,"Distribution, tracking and scheduling co-ordination occupations [15]",Females,25 to 54 years,907.72
2020,Ontario,Average weekly wage rate,"Distribution, tracking and scheduling co-ordination occupations [15]",Females,25 to 54 years,919.97
2021,Ontario,Average weekly wage rate,"Distribution, tracking and scheduling co-ordination occupations [15]",Females,25 to 54 years,1016.52
2017,Ontario,Average weekly wage rate,Natural and applied sciences and related occupations [2],Females,25 to 54 years,1395.68
2018,Ontario,Average weekly wage rate,Natural and applied sciences and related occupations [2],Females,25 to 54 years,1297.45
2019,Ontario,Average weekly wage rate,Natural and applied sciences and related occupations [2],Females,25 to 54 years,1416.19
2020,Ontario,Average weekly wage rate,Natural and applied sciences and related occupations [2],Females,25 to 54 years,1469.35
2021,Ontario,Average weekly wage rate,Natural and applied sciences and related occupations [2],Females,25 to 54 years,1486.97
2017,Ontario,Average weekly wage rate,Professional occupations in natural and applied sciences [21],Females,25 to 54 years,1485.3
2018,Ontario,Average weekly wage rate,Professional occupations in natural and applied sciences [21],Females,25 to 54 years,1392.4
2019,Ontario,Average weekly wage rate,Professional occupations in natural and applied sciences [21],Females,25 to 54 years,1521.26
2020,Ontario,Average weekly wage rate,Professional occupations in natural and applied sciences [21],Females,25 to 54 years,1554.02
2021,Ontario,Average weekly wage rate,Professional occupations in natural and applied sciences [21],Females,25 to 54 years,1588.46
2017,Ontario,Average weekly wage rate,Technical occupations related to natural and applied sciences [22],Females,25 to 54 years,1189.56
2018,Ontario,Average weekly wage rate,Technical occupations related to natural and applied sciences [22],Females,25 to 54 years,1137.57
2019,Ontario,Average weekly wage rate,Technical occupations related to natural and applied sciences [22],Females,25 to 54 years,1166.93
2020,Ontario,Average weekly wage rate,Technical occupations related to natural and applied sciences [22],Females,25 to 54 years,1279.27
2021,Ontario,Average weekly wage rate,Technical occupations related to natural and applied sciences [22],Females,25 to 54 years,1213.36
2017,Ontario,Average weekly wage rate,Health occupations [3],Females,25 to 54 years,1135.23
2018,Ontario,Average weekly wage rate,Health occupations [3],Females,25 to 54 years,1180.02
2019,Ontario,Average weekly wage rate,Health occupations [3],Females,25 to 54 years,1195.33
2020,Ontario,Average weekly wage rate,Health occupations [3],Females,25 to 54 years,1238.2
2021,Ontario,Average weekly wage rate,Health occupations [3],Females,25 to 54 years,1239.03
2017,Ontario,Average weekly wage rate,Professional occupations in nursing [30],Females,25 to 54 years,1376.66
2018,Ontario,Average weekly wage rate,Professional occupations in nursing [30],Females,25 to 54 years,1371.98
2019,Ontario,Average weekly wage rate,Professional occupations in nursing [30],Females,25 to 54 years,1441.05
2020,Ontario,Average weekly wage rate,Professional occupations in nursing [30],Females,25 to 54 years,1462.49
2021,Ontario,Average weekly wage rate,Professional occupations in nursing [30],Females,25 to 54 years,1516.63
2017,Ontario,Average weekly wage rate,Professional occupations in health (except nursing) [31],Females,25 to 54 years,1384.74
2018,Ontario,Average weekly wage rate,Professional occupations in health (except nursing) [31],Females,25 to 54 years,1480.59
2019,Ontario,Average weekly wage rate,Professional occupations in health (except nursing) [31],Females,25 to 54 years,1586.91
2020,Ontario,Average weekly wage rate,Professional occupations in health (except nursing) [31],Females,25 to 54 years,1622.92
2021,Ontario,Average weekly wage rate,Professional occupations in health (except nursing) [31],Females,25 to 54 years,1519.07
2017,Ontario,Average weekly wage rate,Technical occupations in health [32],Females,25 to 54 years,1068.8
2018,Ontario,Average weekly wage rate,Technical occupations in health [32],Females,25 to 54 years,1099.73
2019,Ontario,Average weekly wage rate,Technical occupations in health [32],Females,25 to 54 years,1112.41
2020,Ontario,Average weekly wage rate,Technical occupations in health [32],Females,25 to 54 years,1148.75
2021,Ontario,Average weekly wage rate,Technical occupations in health [32],Females,25 to 54 years,1151.84
2017,Ontario,Average weekly wage rate,Assisting occupations in support of health services [34],Females,25 to 54 years,800.26
2018,Ontario,Average weekly wage rate,Assisting occupations in support of health services [34],Females,25 to 54 years,841.32
2019,Ontario,Average weekly wage rate,Assisting occupations in support of health services [34],Females,25 to 54 years,814.82
2020,Ontario,Average weekly wage rate,Assisting occupations in support of health services [34],Females,25 to 54 years,822.24
2021,Ontario,Average weekly wage rate,Assisting occupations in support of health services [34],Females,25 to 54 years,843.17
2017,Ontario,Average weekly wage rate,"Occupations in education, law and social, community and government services [4]",Females,25 to 54 years,1214.63
2018,Ontario,Average weekly wage rate,"Occupations in education, law and social, community and government services [4]",Females,25 to 54 years,1281.5
2019,Ontario,Average weekly wage rate,"Occupations in education, law and social, community and government services [4]",Females,25 to 54 years,1279.97
2020,Ontario,Average weekly wage rate,"Occupations in education, law and social, community and government services [4]",Females,25 to 54 years,1384.13
2021,Ontario,Average weekly wage rate,"Occupations in education, law and social, community and government services [4]",Females,25 to 54 years,1371.96
2017,Ontario,Average weekly wage rate,Professional occupations in education services [40],Females,25 to 54 years,1404.68
2018,Ontario,Average weekly wage rate,Professional occupations in education services [40],Females,25 to 54 years,1435.08
2019,Ontario,Average weekly wage rate,Professional occupations in education services [40],Females,25 to 54 years,1520.76
2020,Ontario,Average weekly wage rate,Professional occupations in education services [40],Females,25 to 54 years,1565.44
2021,Ontario,Average weekly wage rate,Professional occupations in education services [40],Females,25 to 54 years,1570.0
2017,Ontario,Average weekly wage rate,"Professional occupations in law and social, community and government services [41]",Females,25 to 54 years,1391.47
2018,Ontario,Average weekly wage rate,"Professional occupations in law and social, community and government services [41]",Females,25 to 54 years,1454.01
2019,Ontario,Average weekly wage rate,"Professional occupations in law and social, community and government services [41]",Females,25 to 54 years,1400.31
2020,Ontario,Average weekly wage rate,"Professional occupations in law and social, community and government services [41]",Females,25 to 54 years,1489.84
2021,Ontario,Average weekly wage rate,"Professional occupations in law and social, community and government services [41]",Females,25 to 54 years,1520.37
2017,Ontario,Average weekly wage rate,"Paraprofessional occupations in legal, social, community and education services [42]",Females,25 to 54 years,869.25
2018,Ontario,Average weekly wage rate,"Paraprofessional occupations in legal, social, community and education services [42]",Females,25 to 54 years,937.01
2019,Ontario,Average weekly wage rate,"Paraprofessional occupations in legal, social, community and education services [42]",Females,25 to 54 years,927.05
2020,Ontario,Average weekly wage rate,"Paraprofessional occupations in legal, social, community and education services [42]",Females,25 to 54 years,988.83
2021,Ontario,Average weekly wage rate,"Paraprofessional occupations in legal, social, community and education services [42]",Females,25 to 54 years,952.9
2017,Ontario,Average weekly wage rate,Occupations in front-line public protection services [43],Females,25 to 54 years,1623.51
2018,Ontario,Average weekly wage rate,Occupations in front-line public protection services [43],Females,25 to 54 years,1732.31
2019,Ontario,Average weekly wage rate,Occupations in front-line public protection services [43],Females,25 to 54 years,1820.62
2020,Ontario,Average weekly wage rate,Occupations in front-line public protection services [43],Females,25 to 54 years,1876.18
2021,Ontario,Average weekly wage rate,Occupations in front-line public protection services [43],Females,25 to 54 years,1780.03
2017,Ontario,Average weekly wage rate,"Care providers and educational, legal and public protection support occupations [44]",Females,25 to 54 years,786.54
2018,Ontario,Average weekly wage rate,"Care providers and educational, legal and public protection support occupations [44]",Females,25 to 54 years,849.1
2019,Ontario,Average weekly wage rate,"Care providers and educational, legal and public protection support occupations [44]",Females,25 to 54 years,805.26
2020,Ontario,Average weekly wage rate,"Care providers and educational, legal and public protection support occupations [44]",Females,25 to 54 years,879.51
2021,Ontario,Average weekly wage rate,"Care providers and educational, legal and public protection support occupations [44]",Females,25 to 54 years,898.18
2017,Ontario,Average weekly wage rate,"Occupations in art, culture, recreation and sport [5]",Females,25 to 54 years,1018.14
2018,Ontario,Average weekly wage rate,"Occupations in art, culture, recreation and sport [5]",Females,25 to 54 years,984.26
2019,Ontario,Average weekly wage rate,"Occupations in art, culture, recreation and sport [5]",Females,25 to 54 years,1037.23
2020,Ontario,Average weekly wage rate,"Occupations in art, culture, recreation and sport [5]",Females,25 to 54 years,1171.83
2021,Ontario,Average weekly wage rate,"Occupations in art, culture, recreation and sport [5]",Females,25 to 54 years,1235.3
2017,Ontario,Average weekly wage rate,Professional occupations in art and culture [51],Females,25 to 54 years,1175.88
2018,Ontario,Average weekly wage rate,Professional occupations in art and culture [51],Females,25 to 54 years,1030.22
2019,Ontario,Average weekly wage rate,Professional occupations in art and culture [51],Females,25 to 54 years,1103.86
2020,Ontario,Average weekly wage rate,Professional occupations in art and culture [51],Females,25 to 54 years,1235.73
2021,Ontario,Average weekly wage rate,Professional occupations in art and culture [51],Females,25 to 54 years,1330.73
2017,Ontario,Average weekly wage rate,"Technical occupations in art, culture, recreation and sport [52]",Females,25 to 54 years,922.97
2018,Ontario,Average weekly wage rate,"Technical occupations in art, culture, recreation and sport [52]",Females,25 to 54 years,954.18
2019,Ontario,Average weekly wage rate,"Technical occupations in art, culture, recreation and sport [52]",Females,25 to 54 years,1005.7
2020,Ontario,Average weekly wage rate,"Technical occupations in art, culture, recreation and sport [52]",Females,25 to 54 years,1120.53
2021,Ontario,Average weekly wage rate,"Technical occupations in art, culture, recreation and sport [52]",Females,25 to 54 years,1174.69
2017,Ontario,Average weekly wage rate,Sales and service occupations [6],Females,25 to 54 years,697.24
2018,Ontario,Average weekly wage rate,Sales and service occupations [6],Females,25 to 54 years,734.8
2019,Ontario,Average weekly wage rate,Sales and service occupations [6],Females,25 to 54 years,771.59
2020,Ontario,Average weekly wage rate,Sales and service occupations [6],Females,25 to 54 years,823.29
2021,Ontario,Average weekly wage rate,Sales and service occupations [6],Females,25 to 54 years,849.96
2017,Ontario,Average weekly wage rate,Retail sales supervisors and specialized sales occupations [62],Females,25 to 54 years,865.09
2018,Ontario,Average weekly wage rate,Retail sales supervisors and specialized sales occupations [62],Females,25 to 54 years,864.2
2019,Ontario,Average weekly wage rate,Retail sales supervisors and specialized sales occupations [62],Females,25 to 54 years,960.33
2020,Ontario,Average weekly wage rate,Retail sales supervisors and specialized sales occupations [62],Females,25 to 54 years,995.91
2021,Ontario,Average weekly wage rate,Retail sales supervisors and specialized sales occupations [62],Females,25 to 54 years,1031.84
2017,Ontario,Average weekly wage rate,Service supervisors and specialized service occupations [63],Females,25 to 54 years,711.81
2018,Ontario,Average weekly wage rate,Service supervisors and specialized service occupations [63],Females,25 to 54 years,714.07
2019,Ontario,Average weekly wage rate,Service supervisors and specialized service occupations [63],Females,25 to 54 years,733.93
2020,Ontario,Average weekly wage rate,Service supervisors and specialized service occupations [63],Females,25 to 54 years,810.22
2021,Ontario,Average weekly wage rate,Service supervisors and specialized service occupations [63],Females,25 to 54 years,790.49
2017,Ontario,Average weekly wage rate,Sales representatives and salespersons - wholesale and retail trade [64],Females,25 to 54 years,714.99
2018,Ontario,Average weekly wage rate,Sales representatives and salespersons - wholesale and retail trade [64],Females,25 to 54 years,750.98
2019,Ontario,Average weekly wage rate,Sales representatives and salespersons - wholesale and retail trade [64],Females,25 to 54 years,799.57
2020,Ontario,Average weekly wage rate,Sales representatives and salespersons - wholesale and retail trade [64],Females,25 to 54 years,896.15
2021,Ontario,Average weekly wage rate,Sales representatives and salespersons - wholesale and retail trade [64],Females,25 to 54 years,880.6
2017,Ontario,Average weekly wage rate,Service representatives and other customer and personal services occupations [65],Females,25 to 54 years,655.18
2018,Ontario,Average weekly wage rate,Service representatives and other customer and personal services occupations [65],Females,25 to 54 years,735.0
2019,Ontario,Average weekly wage rate,Service representatives and other customer and personal services occupations [65],Females,25 to 54 years,736.56
2020,Ontario,Average weekly wage rate,Service representatives and other customer and personal services occupations [65],Females,25 to 54 years,761.81
2021,Ontario,Average weekly wage rate,Service representatives and other customer and personal services occupations [65],Females,25 to 54 years,823.48
2017,Ontario,Average weekly wage rate,Sales support occupations [66],Females,25 to 54 years,581.65
2018,Ontario,Average weekly wage rate,Sales support occupations [66],Females,25 to 54 years,610.95
2019,Ontario,Average weekly wage rate,Sales support occupations [66],Females,25 to 54 years,600.02
2020,Ontario,Average weekly wage rate,Sales support occupations [66],Females,25 to 54 years,609.03
2021,Ontario,Average weekly wage rate,Sales support occupations [66],Females,25 to 54 years,666.12
2017,Ontario,Average weekly wage rate,"Service support and other service occupations, n.e.c. [67]",Females,25 to 54 years,566.02
2018,Ontario,Average weekly wage rate,"Service support and other service occupations, n.e.c. [67]",Females,25 to 54 years,629.48
2019,Ontario,Average weekly wage rate,"Service support and other service occupations, n.e.c. [67]",Females,25 to 54 years,640.89
2020,Ontario,Average weekly wage rate,"Service support and other service occupations, n.e.c. [67]",Females,25 to 54 years,687.43
2021,Ontario,Average weekly wage rate,"Service support and other service occupations, n.e.c. [67]",Females,25 to 54 years,687.36
2017,Ontario,Average weekly wage rate,"Trades, transport and equipment operators and related occupations [7]",Females,25 to 54 years,806.32
2018,Ontario,Average weekly wage rate,"Trades, transport and equipment operators and related occupations [7]",Females,25 to 54 years,846.62
2019,Ontario,Average weekly wage rate,"Trades, transport and equipment operators and related occupations [7]",Females,25 to 54 years,911.33
2020,Ontario,Average weekly wage rate,"Trades, transport and equipment operators and related occupations [7]",Females,25 to 54 years,844.86
2021,Ontario,Average weekly wage rate,"Trades, transport and equipment operators and related occupations [7]",Females,25 to 54 years,957.01
2017,Ontario,Average weekly wage rate,"Industrial, electrical and construction trades [72]",Females,25 to 54 years,895.24
2018,Ontario,Average weekly wage rate,"Industrial, electrical and construction trades [72]",Females,25 to 54 years,897.99
2019,Ontario,Average weekly wage rate,"Industrial, electrical and construction trades [72]",Females,25 to 54 years,1271.9
2020,Ontario,Average weekly wage rate,"Industrial, electrical and construction trades [72]",Females,25 to 54 years,909.1
2021,Ontario,Average weekly wage rate,"Industrial, electrical and construction trades [72]",Females,25 to 54 years,1032.37
2017,Ontario,Average weekly wage rate,Maintenance and equipment operation trades [73],Females,25 to 54 years,976.48
2018,Ontario,Average weekly wage rate,Maintenance and equipment operation trades [73],Females,25 to 54 years,1012.91
2019,Ontario,Average weekly wage rate,Maintenance and equipment operation trades [73],Females,25 to 54 years,1107.34
2020,Ontario,Average weekly wage rate,Maintenance and equipment operation trades [73],Females,25 to 54 years,1129.72
2021,Ontario,Average weekly wage rate,Maintenance and equipment operation trades [73],Females,25 to 54 years,1088.49
2017,Ontario,Average weekly wage rate,"Other installers, repairers and servicers and material handlers [74]",Females,25 to 54 years,628.53
2018,Ontario,Average weekly wage rate,"Other installers, repairers and servicers and material handlers [74]",Females,25 to 54 years,728.6
2019,Ontario,Average weekly wage rate,"Other installers, repairers and servicers and material handlers [74]",Females,25 to 54 years,689.86
2020,Ontario,Average weekly wage rate,"Other installers, repairers and servicers and material handlers [74]",Females,25 to 54 years,675.72
2021,Ontario,Average weekly wage rate,"Other installers, repairers and servicers and material handlers [74]",Females,25 to 54 years,799.55
2017,Ontario,Average weekly wage rate,Transport and heavy equipment operation and related maintenance occupations [75],Females,25 to 54 years,870.59
2018,Ontario,Average weekly wage rate,Transport and heavy equipment operation and related maintenance occupations [75],Females,25 to 54 years,854.26
2019,Ontario,Average weekly wage rate,Transport and heavy equipment operation and related maintenance occupations [75],Females,25 to 54 years,831.98
2020,Ontario,Average weekly wage rate,Transport and heavy equipment operation and related maintenance occupations [75],Females,25 to 54 years,904.38
2021,Ontario,Average weekly wage rate,Transport and heavy equipment operation and related maintenance occupations [75],Females,25 to 54 years,1002.21
2017,Ontario,Average weekly wage rate,"Trades helpers, construction labourers and related occupations [76]",Females,25 to 54 years,992.94
2018,Ontario,Average weekly wage rate,"Trades helpers, construction labourers and related occupations [76]",Females,25 to 54 years,
2019,Ontario,Average weekly wage rate,"Trades helpers, construction labourers and related occupations [76]",Females,25 to 54 years,
2020,Ontario,Average weekly wage rate,"Trades helpers, construction labourers and related occupations [76]",Females,25 to 54 years,
2021,Ontario,Average weekly wage rate,"Trades helpers, construction labourers and related occupations [76]",Females,25 to 54 years,
2017,Ontario,Average weekly wage rate,"Natural resources, agriculture and related production occupations [8]",Females,25 to 54 years,733.08
2018,Ontario,Average weekly wage rate,"Natural resources, agriculture and related production occupations [8]",Females,25 to 54 years,771.51
2019,Ontario,Average weekly wage rate,"Natural resources, agriculture and related production occupations [8]",Females,25 to 54 years,823.11
2020,Ontario,Average weekly wage rate,"Natural resources, agriculture and related production occupations [8]",Females,25 to 54 years,848.45
2021,Ontario,Average weekly wage rate,"Natural resources, agriculture and related production occupations [8]",Females,25 to 54 years,971.45
2017,Ontario,Average weekly wage rate,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",Females,25 to 54 years,923.17
2018,Ontario,Average weekly wage rate,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",Females,25 to 54 years,1035.31
2019,Ontario,Average weekly wage rate,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",Females,25 to 54 years,
2020,Ontario,Average weekly wage rate,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",Females,25 to 54 years,
2021,Ontario,Average weekly wage rate,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",Females,25 to 54 years,1500.06
2017,Ontario,Average weekly wage rate,"Workers in natural resources, agriculture and related production [84]",Females,25 to 54 years,688.09
2018,Ontario,Average weekly wage rate,"Workers in natural resources, agriculture and related production [84]",Females,25 to 54 years,666.63
2019,Ontario,Average weekly wage rate,"Workers in natural resources, agriculture and related production [84]",Females,25 to 54 years,832.64
2020,Ontario,Average weekly wage rate,"Workers in natural resources, agriculture and related production [84]",Females,25 to 54 years,778.82
2021,Ontario,Average weekly wage rate,"Workers in natural resources, agriculture and related production [84]",Females,25 to 54 years,828.26
2017,Ontario,Average weekly wage rate,"Harvesting, landscaping and natural resources labourers [86]",Females,25 to 54 years,637.3
2018,Ontario,Average weekly wage rate,"Harvesting, landscaping and natural resources labourers [86]",Females,25 to 54 years,
2019,Ontario,Average weekly wage rate,"Harvesting, landscaping and natural resources labourers [86]",Females,25 to 54 years,
2020,Ontario,Average weekly wage rate,"Harvesting, landscaping and natural resources labourers [86]",Females,25 to 54 years,
2021,Ontario,Average weekly wage rate,"Harvesting, landscaping and natural resources labourers [86]",Females,25 to 54 years,798.01
2017,Ontario,Average weekly wage rate,Occupations in manufacturing and utilities [9],Females,25 to 54 years,714.26
2018,Ontario,Average weekly wage rate,Occupations in manufacturing and utilities [9],Females,25 to 54 years,771.01
2019,Ontario,Average weekly wage rate,Occupations in manufacturing and utilities [9],Females,25 to 54 years,832.97
2020,Ontario,Average weekly wage rate,Occupations in manufacturing and utilities [9],Females,25 to 54 years,803.44
2021,Ontario,Average weekly wage rate,Occupations in manufacturing and utilities [9],Females,25 to 54 years,853.61
2017,Ontario,Average weekly wage rate,"Processing, manufacturing and utilities supervisors and central control operators [92]",Females,25 to 54 years,952.5
2018,Ontario,Average weekly wage rate,"Processing, manufacturing and utilities supervisors and central control operators [92]",Females,25 to 54 years,985.49
2019,Ontario,Average weekly wage rate,"Processing, manufacturing and utilities supervisors and central control operators [92]",Females,25 to 54 years,1220.95
2020,Ontario,Average weekly wage rate,"Processing, manufacturing and utilities supervisors and central control operators [92]",Females,25 to 54 years,980.42
2021,Ontario,Average weekly wage rate,"Processing, manufacturing and utilities supervisors and central control operators [92]",Females,25 to 54 years,1309.35
2017,Ontario,Average weekly wage rate,Processing and manufacturing machine operators and related production workers [94],Females,25 to 54 years,674.97
2018,Ontario,Average weekly wage rate,Processing and manufacturing machine operators and related production workers [94],Females,25 to 54 years,731.54
2019,Ontario,Average weekly wage rate,Processing and manufacturing machine operators and related production workers [94],Females,25 to 54 years,798.0
2020,Ontario,Average weekly wage rate,Processing and manufacturing machine operators and related production workers [94],Females,25 to 54 years,790.61
2021,Ontario,Average weekly wage rate,Processing and manufacturing machine operators and related production workers [94],Females,25 to 54 years,780.12
2017,Ontario,Average weekly wage rate,Assemblers in manufacturing [95],Females,25 to 54 years,764.15
2018,Ontario,Average weekly wage rate,Assemblers in manufacturing [95],Females,25 to 54 years,812.42
2019,Ontario,Average weekly wage rate,Assemblers in manufacturing [95],Females,25 to 54 years,817.39
2020,Ontario,Average weekly wage rate,Assemblers in manufacturing [95],Females,25 to 54 years,800.9
2021,Ontario,Average weekly wage rate,Assemblers in manufacturing [95],Females,25 to 54 years,811.28
2017,Ontario,Average weekly wage rate,"Labourers in processing, manufacturing and utilities [96]",Females,25 to 54 years,618.12
2018,Ontario,Average weekly wage rate,"Labourers in processing, manufacturing and utilities [96]",Females,25 to 54 years,665.37
2019,Ontario,Average weekly wage rate,"Labourers in processing, manufacturing and utilities [96]",Females,25 to 54 years,694.23
2020,Ontario,Average weekly wage rate,"Labourers in processing, manufacturing and utilities [96]",Females,25 to 54 years,668.01
2021,Ontario,Average weekly wage rate,"Labourers in processing, manufacturing and utilities [96]",Females,25 to 54 years,697.58
2017,Ontario,Average weekly wage rate,"Total employees, all occupations",Females,55 years and over,1038.15
2018,Ontario,Average weekly wage rate,"Total employees, all occupations",Females,55 years and over,1064.9
2019,Ontario,Average weekly wage rate,"Total employees, all occupations",Females,55 years and over,1100.28
2020,Ontario,Average weekly wage rate,"Total employees, all occupations",Females,55 years and over,1154.73
2021,Ontario,Average weekly wage rate,"Total employees, all occupations",Females,55 years and over,1187.72
2017,Ontario,Average weekly wage rate,Management occupations [0],Females,55 years and over,1742.09
2018,Ontario,Average weekly wage rate,Management occupations [0],Females,55 years and over,1736.42
2019,Ontario,Average weekly wage rate,Management occupations [0],Females,55 years and over,1993.95
2020,Ontario,Average weekly wage rate,Management occupations [0],Females,55 years and over,1944.97
2021,Ontario,Average weekly wage rate,Management occupations [0],Females,55 years and over,1978.56
2017,Ontario,Average weekly wage rate,Senior management occupations [00],Females,55 years and over,2205.96
2018,Ontario,Average weekly wage rate,Senior management occupations [00],Females,55 years and over,1799.78
2019,Ontario,Average weekly wage rate,Senior management occupations [00],Females,55 years and over,1871.17
2020,Ontario,Average weekly wage rate,Senior management occupations [00],Females,55 years and over,2584.12
2021,Ontario,Average weekly wage rate,Senior management occupations [00],Females,55 years and over,2205.8
2017,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Females,55 years and over,1792.8
2018,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Females,55 years and over,1794.91
2019,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Females,55 years and over,2058.77
2020,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Females,55 years and over,1939.39
2021,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Females,55 years and over,2093.0
2017,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Females,55 years and over,1124.57
2018,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Females,55 years and over,1399.68
2019,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Females,55 years and over,1820.15
2020,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Females,55 years and over,1914.3
2021,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Females,55 years and over,1633.4
2017,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Females,55 years and over,1526.7
2018,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Females,55 years and over,1656.86
2019,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Females,55 years and over,1596.12
2020,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Females,55 years and over,1502.55
2021,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Females,55 years and over,1703.54
2017,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Females,55 years and over,991.55
2018,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Females,55 years and over,1031.98
2019,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Females,55 years and over,1071.14
2020,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Females,55 years and over,1132.05
2021,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Females,55 years and over,1147.59
2017,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Females,55 years and over,1403.32
2018,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Females,55 years and over,1464.19
2019,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Females,55 years and over,1595.18
2020,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Females,55 years and over,1649.27
2021,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Females,55 years and over,1746.67
2017,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Females,55 years and over,975.64
2018,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Females,55 years and over,1005.39
2019,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Females,55 years and over,1077.32
2020,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Females,55 years and over,1079.94
2021,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Females,55 years and over,1125.55
2017,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Females,55 years and over,1050.78
2018,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Females,55 years and over,1020.57
2019,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Females,55 years and over,1045.59
2020,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Females,55 years and over,1137.43
2021,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Females,55 years and over,1175.14
2017,Ontario,Average weekly wage rate,Office support occupations [14],Females,55 years and over,848.75
2018,Ontario,Average weekly wage rate,Office support occupations [14],Females,55 years and over,882.33
2019,Ontario,Average weekly wage rate,Office support occupations [14],Females,55 years and over,912.22
2020,Ontario,Average weekly wage rate,Office support occupations [14],Females,55 years and over,960.54
2021,Ontario,Average weekly wage rate,Office support occupations [14],Females,55 years and over,960.29
2017,Ontario,Average weekly wage rate,"Distribution, tracking and scheduling co-ordination occupations [15]",Females,55 years and over,815.71
2018,Ontario,Average weekly wage rate,"Distribution, tracking and scheduling co-ordination occupations [15]",Females,55 years and over,885.86
